# Vayyar & Minicircuits VNAKit
# Frequency range: [2000 - 2700 (mhz)], 1001 measurements.
# RBW: 2(khz); OutputPower: 0(dbm); transmitting from trPort 3

FREQUENCY(MHZ),1_I,1_Q,2_I,2_Q,3_I,3_Q,4_I,4_Q,5_I,5_Q,6_I,6_Q
2105,0.0147901,-0.00128116,0.0446285,-0.121389,0,0,0.124332,-0.0653501,0.00393525,-0.00313078,-0.107929,0.0201336
2105.7,0.0146488,-0.00184751,0.0436024,-0.121669,0,0,0.122819,-0.0681234,0.0038238,-0.00326483,-0.10731,0.0232269
2106.4,0.0145234,-0.00238869,0.0426031,-0.122243,0,0,0.121412,-0.071102,0.00370815,-0.0034404,-0.106591,0.0263918
2107.1,0.0143059,-0.00292832,0.0415531,-0.122484,0,0,0.119679,-0.0737885,0.00360125,-0.00359103,-0.105781,0.0294861
2107.8,0.0140813,-0.00347305,0.040286,-0.122632,0,0,0.117649,-0.0764487,0.00345373,-0.0037175,-0.104836,0.0326602
2108.5,0.0138748,-0.00396705,0.0393037,-0.123149,0,0,0.11605,-0.0792897,0.00329634,-0.00386916,-0.103859,0.0357085
2109.2,0.0136343,-0.00447845,0.0382372,-0.123472,0,0,0.114252,-0.081957,0.00318782,-0.00399582,-0.102769,0.0387438
2109.9,0.0133793,-0.00497009,0.0373167,-0.124011,0,0,0.112552,-0.0846823,0.00304408,-0.00413873,-0.101626,0.0417034
2110.6,0.0130454,-0.00544095,0.0360754,-0.124116,0,0,0.110385,-0.0872167,0.00289777,-0.00426361,-0.10033,0.0447443
2111.3,0.012762,-0.00591241,0.0350889,-0.124559,0,0,0.108488,-0.0898171,0.00275376,-0.00437916,-0.0989945,0.0476457
2112,0.0124369,-0.00638251,0.0338251,-0.124885,0,0,0.106258,-0.092443,0.00262684,-0.00450444,-0.0974927,0.0506615
2112.7,0.0120901,-0.00677853,0.0330081,-0.125249,0,0,0.104367,-0.0948101,0.00244408,-0.00463313,-0.0960674,0.0533354
2113.4,0.011764,-0.00718764,0.0320122,-0.125896,0,0,0.102455,-0.0974445,0.00229072,-0.00473021,-0.0944945,0.0561325
2114.1,0.0113509,-0.00756346,0.0309002,-0.126013,0,0,0.10011,-0.0996855,0.00212755,-0.00483873,-0.0928304,0.0588458
2114.8,0.0109082,-0.0079134,0.0296839,-0.126027,0,0,0.0975661,-0.101868,0.00193611,-0.00492622,-0.0910062,0.0616363
2115.5,0.0105121,-0.00827914,0.0287479,-0.126627,0,0,0.0955241,-0.104319,0.00177845,-0.00501973,-0.0892346,0.0642102
2116.2,0.0100832,-0.00857121,0.0275658,-0.126808,0,0,0.0929711,-0.106524,0.00157573,-0.00508723,-0.0872835,0.0668524
2116.9,0.0096132,-0.00885738,0.0264355,-0.12682,0,0,0.090386,-0.108455,0.0014163,-0.00513037,-0.0852734,0.0693897
2117.6,0.0091926,-0.00917792,0.0254782,-0.127272,0,0,0.0880664,-0.110707,0.00119583,-0.00523515,-0.0832731,0.0718
2118.3,0.00869778,-0.0093827,0.0242705,-0.127423,0,0,0.085405,-0.112675,0.001031,-0.00530906,-0.0810909,0.074274
2119,0.00826028,-0.00963577,0.0232959,-0.12772,0,0,0.082938,-0.114723,0.000825593,-0.00537327,-0.0789402,0.0765803
2119.7,0.00775611,-0.00983235,0.0221566,-0.127953,0,0,0.0802886,-0.116622,0.000628026,-0.00537225,-0.0766386,0.0788893
2120.4,0.00728801,-0.0100157,0.0210798,-0.128103,0,0,0.0775692,-0.118413,0.000449323,-0.00544945,-0.0743237,0.0810861
2121.1,0.00682435,-0.0102082,0.0201084,-0.128637,0,0,0.0750782,-0.120504,0.000243896,-0.00549403,-0.0719987,0.083192
2121.8,0.00635019,-0.0103491,0.0189573,-0.128643,0,0,0.072176,-0.122087,8.26312e-05,-0.00548517,-0.069514,0.0852823
2122.5,0.00584006,-0.0104658,0.0177733,-0.128603,0,0,0.0692302,-0.123557,-0.000171793,-0.00550413,-0.0669538,0.0873135
2123.2,0.00536671,-0.0105978,0.0168362,-0.129073,0,0,0.0666657,-0.125425,-0.000355359,-0.00553829,-0.0644823,0.0891818
2123.9,0.00487962,-0.0106457,0.0156171,-0.129045,0,0,0.0635995,-0.126811,-0.00057818,-0.00551308,-0.0617894,0.0910661
2124.6,0.00438936,-0.0107417,0.0145965,-0.129366,0,0,0.0608377,-0.128407,-0.000774324,-0.00552109,-0.0591859,0.0928084
